Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,year
Arizona Diamondbacks,2242695,27688,29.2,29.6,105,104,0,3,13,"$134,850,600",03:10:00,45,26,57%,Lovullo,2018
Atlanta Braves,2555781,31553,27.4,27.7,101,101,0,4,16,"$115,848,667",03:04:00,45,18,40%,Snitker,2018
Baltimore Orioles,1564192,19311,28.4,27.1,98,100,0,1,15,"$141,555,833",03:01:00,27,15,55%,Showalter,2018
Boston Red Sox,2895575,35748,27.7,28.9,104,103,0,5,20,"$222,205,000",03:13:00,43,22,51%,Cora,2018
Chicago Cubs,3181089,38794,27.2,30.2,104,103,0,3,16,"$205,373,881",03:09:00,43,27,62%,Maddon,2018
Chicago White Sox,1608817,19862,26.5,27.6,98,99,0,1,9,"$75,092,000",03:08:00,40,20,50%,Renteria,2018
Cincinnati Reds,1629356,20116,27.2,27.1,102,103,0,3,10,"$94,587,500",03:03:00,38,14,36%,Price and Riggleman,2018
Cleveland Indians,1926701,23786,29.4,29.4,103,101,0,6,16,"$143,375,233",03:03:00,37,16,43%,Francona,2018
Colorado Rockies,3015880,37233,28.7,27.9,117,117,0,3,11,"$136,658,500",03:04:00,46,24,52%,Black,2018
Detroit Tigers,1856970,22926,27.9,28.6,103,105,0,1,10,"$111,531,000",03:00:00,32,19,59%,Gardenhire,2018
Houston Astros,2980549,36797,28.1,30,99,97,0,6,16,"$172,781,200",03:04:00,34,14,41%,Hinch,2018
Kansas City Royals,1665107,20557,28.6,27.6,100,101,0,1,8,"$95,199,167",02:57:00,41,31,75%,Yost,2018
Los Angeles Angels,3020216,37287,29.5,27.5,98,98,0,1,8,"$166,849,666",03:09:00,42,23,54%,Scioscia,2018
Los Angeles Dodgers,3857500,47043,28.1,29.2,98,96,0,3,19,"$164,703,429",03:13:00,39,18,46%,Roberts,2018
Miami Marlins,811104,10014,27.5,27.6,94,95,0,1,6,"$86,515,143",03:02:00,41,22,53%,Mattingly,2018
Milwaukee Brewers,2850875,35196,28.9,28.8,102,101,0,5,18,"$109,295,700",03:07:00,34,7,20%,Counsell,2018
Minnesota Twins,1959197,24188,28.2,28.5,101,100,1,1,17,"$110,275,000",03:10:00,45,21,46%,Molitor,2018
New York Mets,2224995,27469,28.4,28,92,92,0,1,19,"$161,403,844",03:01:00,29,15,51%,Callaway,2018
New York Yankees,3482855,42998,27.2,28.8,100,98,0,4,16,"$160,643,032",03:11:00,35,26,74%,Boone,2018
Oakland Athletics,1573616,19427,28,29.2,97,97,0,2,14,"$69,883,333",03:05:00,42,21,50%,Melvin,2018
Philadelphia Phillies,2158124,26644,26.7,26.8,102,102,0,1,8,"$93,874,333",03:10:00,44,27,61%,Kapler,2018
Pittsburgh Pirates,1465316,18316,27.8,26.5,96,97,0,1,12,"$88,141,000",03:04:00,48,23,47%,Hurdle,2018
San Diego Padres,2168536,26772,26.9,27.7,93,95,0,1,6,"$93,821,067",03:00:00,44,19,43%,Green,2018
Seattle Mariners,2299489,28389,29.8,29,94,95,0,4,14,"$157,090,065",02:58:00,37,13,35%,Servais,2018
San Francisco Giants,3156185,38965,29.8,28.6,93,94,0,2,14,"$202,060,277",03:01:00,31,23,74%,Bochy,2018
St. Louis Cardinals,3403587,42020,28.1,26.7,97,96,0,2,14,"$157,713,667",03:10:00,47,18,38%,Matheny and Shildt,2018
Tampa Bay Rays,1154973,14259,27.1,27.1,97,96,0,2,13,"$46,569,867",03:01:00,54,26,48%,Cash,2018
Texas Rangers,2107107,26014,27.4,30.4,110,111,1,1,11,"$106,099,628",03:04:00,42,17,40%,Banister and Wakamatsu,2018
Toronto Blue Jays,2325281,28707,29,29.3,98,99,0,1,13,"$151,670,772",02:59:00,39,18,46%,Gibbons,2018
Washington Nationals,2529604,31230,27.5,30.2,106,105,0,3,16,"$188,886,699",03:07:00,40,21,52%,Martinez,2018
Arizona Diamondbacks,2135510,26364,28.7,28.6,101,101,0,2,10,"$124,016,266",03:15:00,36,21,58%,Lovullo,2019
Atlanta Braves,2654920,32777,28,27.5,106,104,0,3,21,"$133,186,667",03:13:00,30,16,53%,Snitker,2019
Baltimore Orioles,1307807,16146,26.5,27.3,100,102,0,1,6,"$82,696,100",03:07:00,30,11,36%,Hyde,2019
Boston Red Sox,2915502,35994,27.3,29,106,105,0,3,15,"$218,978,142",03:25:00,33,22,66%,Cora,2019
Chicago Cubs,3094865,38208,27.7,31.1,100,100,0,3,19,"$220,305,215",03:12:00,32,16,50%,Maddon,2019
Chicago White Sox,1649775,20622,27.6,27.6,98,99,0,3,10,"$80,846,333",03:10:00,28,12,42%,Renteria,2019
Cincinnati Reds,1809075,22334,27.9,28.2,106,106,0,2,14,"$109,737,499",03:03:00,34,14,41%,Bell,2019
Cleveland Indians,1738642,21465,27.8,28.3,104,102,0,4,13,"$151,257,783",03:03:00,27,15,55%,Francona,2019
Colorado Rockies,2993244,36954,28.2,27.3,116,117,0,4,11,"$145,348,500",03:14:00,38,20,52%,Black,2019
Detroit Tigers,1501430,18536,27.6,27.8,101,103,0,1,11,"$100,618,500",03:02:00,34,14,41%,Gardenhire,2019
Houston Astros,2857367,35276,28.9,29.9,103,100,0,6,18,"$166,042,500",03:05:00,39,20,51%,Hinch,2019
Kansas City Royals,1479659,18267,27.6,27.9,102,103,0,1,5,"$98,183,242",03:03:00,28,23,82%,Yost,2019
Los Angeles Angels,3023012,37321,28.8,27,100,100,0,2,10,"$158,078,584",03:15:00,31,17,54%,Ausmus,2019
Los Angeles Dodgers,3974309,49066,27.9,28.9,97,94,0,5,16,"$193,553,333",03:12:00,34,19,55%,Roberts,2019
Miami Marlins,811302,10016,28.4,26.5,96,97,0,1,8,"$74,683,643",03:05:00,43,22,51%,Mattingly,2019
Milwaukee Brewers,2923333,36091,28.9,28.7,101,101,0,5,15,"$128,842,900",03:16:00,28,16,57%,Counsell,2019
Minnesota Twins,2303299,28436,27.8,28.2,99,98,0,3,15,"$113,758,333",03:14:00,39,12,30%,Baldelli,2019
New York Mets,2442532,30155,27.9,28.6,93,93,0,3,18,"$154,837,230",03:09:00,36,13,36%,Callaway,2019
New York Yankees,3304404,40795,28.3,30.2,98,96,0,5,17,"$228,442,421",03:11:00,22,15,68%,Boone,2019
Oakland Athletics,1670734,20626,27.8,30.8,94,93,0,2,11,"$102,935,833",03:07:00,29,12,41%,Melvin,2019
Philadelphia Phillies,2727421,33672,27.6,28.4,101,101,0,1,12,"$141,786,962",03:15:00,43,23,53%,Kapler,2019
Pittsburgh Pirates,1491439,18413,27.4,27.2,97,98,0,2,13,"$72,915,501",03:12:00,36,15,41%,Hurdle and Prince,2019
San Diego Padres,2396399,29585,26.1,26.3,94,95,0,1,8,"$90,260,767",03:07:00,54,25,46%,Green and Barajas,2019
Seattle Mariners,1791109,22112,27.8,28.6,94,94,0,1,10,"$126,874,600",03:08:00,38,18,47%,Servais,2019
San Francisco Giants,2707760,33429,29.9,28.9,95,95,0,1,15,"$175,450,753",03:07:00,28,15,53%,Bochy,2019
St. Louis Cardinals,3480393,42968,28.8,27.8,96,95,0,1,15,"$161,120,267",03:10:00,39,16,41%,Shildt,2019
Tampa Bay Rays,1178735,14552,27.2,27.8,96,95,0,3,11,"$57,098,067",03:11:00,48,22,45%,Cash,2019
Texas Rangers,2132994,26333,28.8,28.3,111,112,0,3,11,"$104,433,499",03:11:00,46,29,63%,Woodward,2019
Toronto Blue Jays,1750144,21607,25.9,28,97,98,0,1,10,"$62,180,671",03:07:00,39,17,43%,Montoyo,2019
Washington Nationals,2259781,27899,28.7,30.8,102,102,0,2,16,"$203,016,595",03:12:00,31,15,48%,Martinez,2019
Arizona Diamondbacks,NA,NA,29.1,27.7,99,100,0,0,9,"$88,176,667",03:08:00,24,10,41%,Lovullo,2020
Atlanta Braves,NA,NA,28.2,28.5,106,104,0,0,20,"$130,705,000",03:13:00,14,4,28%,Snitker,2020
Baltimore Orioles,NA,NA,26.3,28.3,103,105,0,0,7,"$52,190,000",03:04:00,24,8,33%,Hyde,2020
Boston Red Sox,NA,NA,27.1,29.1,108,108,0,0,10,"$171,984,429",03:20:00,21,16,76%,Roenicke,2020
Chicago Cubs,NA,NA,27.9,30.3,100,100,0,0,13,"$181,560,000",03:06:00,17,10,58%,Ross,2020
Chicago White Sox,NA,NA,27.7,27.6,100,100,0,0,12,"$119,066,333",03:10:00,15,11,73%,Renteria,2020
Cincinnati Reds,NA,NA,29.2,28.6,109,109,0,0,10,"$120,781,165",02:58:00,23,11,47%,Bell,2020
Cleveland Indians,NA,NA,28,27.6,101,100,0,0,5,"$101,991,668",03:06:00,26,10,38%,Francona,2020
Colorado Rockies,NA,NA,28.7,27.3,114,115,0,0,11,"$144,730,000",03:10:00,17,7,41%,Black,2020
Detroit Tigers,NA,NA,27.6,26.6,100,102,0,0,7,"$88,385,000",02:59:00,18,12,66%,Gardenhire and McClendon,2020
Houston Astros,NA,NA,29.2,27,102,100,0,0,15,"$217,000,000",03:08:00,13,4,30%,Baker,2020
Kansas City Royals,NA,NA,27.8,27.1,104,105,0,0,8,"$68,600,000",03:05:00,7,5,71%,Matheny,2020
Los Angeles Angels,NA,NA,28.5,27.4,101,102,0,0,9,"$181,254,762",03:14:00,23,13,56%,Maddon,2020
Los Angeles Dodgers,NA,NA,28,27.6,99,97,0,0,16,"$216,508,333",03:09:00,19,11,57%,Roberts,2020
Miami Marlins,NA,NA,29,27.5,100,101,0,0,11,"$68,450,000",03:05:00,26,11,42%,Mattingly,2020
Milwaukee Brewers,NA,NA,28.5,28,102,101,0,0,15,"$103,541,667",03:02:00,10,4,40%,Counsell,2020
Minnesota Twins,NA,NA,28.8,30,98,97,0,0,14,"$134,838,333",03:06:00,30,11,36%,Baldelli,2020
New York Mets,NA,NA,27.7,29.2,95,95,0,0,16,"$162,078,667",03:11:00,18,8,44%,Rojas,2020
New York Yankees,NA,NA,28.5,29.2,97,96,0,0,11,"$218,635,714",03:06:00,12,5,41%,Boone,2020
Oakland Athletics,NA,NA,28.1,29.9,96,94,0,0,12,"$85,683,333",02:57:00,23,7,30%,Melvin,2020
Philadelphia Phillies,NA,NA,28.5,29.1,100,100,0,0,8,"$170,148,461",03:08:00,29,17,58%,Girardi,2020
Pittsburgh Pirates,NA,NA,27.1,27.7,98,100,0,0,6,"$49,628,500",03:05:00,10,2,20%,Shelton,2020
San Diego Padres,NA,NA,26.7,27.8,93,93,0,0,12,"$141,953,667",03:04:00,20,9,45%,Tingler,2020
Seattle Mariners,NA,NA,26.7,26.6,95,96,0,0,7,"$92,310,000",02:59:00,12,5,41%,Servais,2020
San Francisco Giants,NA,NA,29.8,29,95,95,0,0,12,"$152,957,778",03:08:00,35,11,31%,Kapler,2020
St. Louis Cardinals,NA,NA,28.9,27.6,94,93,0,0,11,"$153,396,167",02:52:00,12,8,66%,Shildt,2020
Tampa Bay Rays,NA,NA,27.1,28.1,94,92,0,0,9,"$56,351,667",03:10:00,24,8,33%,Cash,2020
Texas Rangers,NA,NA,27.5,28.7,99,101,0,0,11,"$122,326,667",03:04:00,21,11,52%,Woodward,2020
Toronto Blue Jays,NA,NA,25.9,29.5,100,99,0,0,13,"$76,078,572",03:15:00,29,6,20%,Montoyo,2020
Washington Nationals,NA,NA,28.6,30.8,99,99,0,0,14,"$172,237,283",03:10:00,19,14,73%,Martinez,2020
Arizona Diamondbacks,1043010,12877,28.9,28.5,99,100,0,1,11,"$77,691,667",03:15:00,10,2,20%,Lovullo,2021
Atlanta Braves,2299647,28746,28.2,29.5,104,103,0,3,21,"$127,230,000",03:08:00,12,2,16%,Snitker,2021
Baltimore Orioles,793229,9793,26.7,28.1,101,103,0,1,5,"$42,075,000",03:06:00,10,1,10%,Hyde,2021
Boston Red Sox,1725323,21300,28,29.7,107,108,0,5,9,"$156,095,000",03:17:00,10,6,60%,Cora,2021
Chicago Cubs,1978934,24431,29.1,29.4,99,100,0,2,11,"$144,413,500",03:16:00,18,9,50%,Ross,2021
Chicago White Sox,1596385,19708,28.1,28.3,102,101,0,4,11,"$115,546,333",03:09:00,9,7,77%,La Russa,2021
Cincinnati Reds,1505024,18581,28.9,28.9,110,111,0,2,12,"$116,784,881",03:14:00,13,10,76%,Bell,2021
Cleveland Indians,1114368,13758,26.7,26.3,100,99,0,2,5,"$50,425,500",03:04:00,11,8,72%,Francona,2021
Colorado Rockies,1938645,23934,28.1,28.3,113,114,0,1,6,"$92,675,000",03:12:00,16,9,56%,Black,2021
Detroit Tigers,1102621,13613,28.1,27.3,97,98,0,1,7,"$78,590,500",03:06:00,12,7,58%,Hinch,2021
Houston Astros,2068509,25537,28.9,28.7,101,99,0,4,13,"$190,400,000",03:19:00,12,4,33%,Baker,2021
Kansas City Royals,1159613,14316,29.3,27.9,103,105,0,2,9,"$86,820,000",03:08:00,17,6,35%,Matheny,2021
Los Angeles Angels,1515689,18484,29.1,28.6,103,103,0,3,13,"$188,408,595",03:12:00,20,6,30%,Maddon,2021
Los Angeles Dodgers,2804693,34626,29.2,28.8,103,100,0,5,22,"$248,108,334",03:18:00,22,12,54%,Roberts,2021
Miami Marlins,642617,7934,28.2,27.3,99,100,0,1,10,"$33,150,000",03:11:00,16,2,12%,Mattingly,2021
Milwaukee Brewers,1824282,22522,28.7,28.1,99,98,0,5,15,"$85,517,626",03:16:00,7,5,71%,Counsell,2021
Minnesota Twins,1310199,16175,28.3,29.8,98,98,0,2,12,"$120,158,333",03:10:00,21,9,42%,Baldelli,2021
New York Mets,1511926,18666,28.2,29.5,96,95,0,2,14,"$184,675,167",03:09:00,14,5,35%,Rojas,2021
