"last_name, first_name","player_id","year","pa","home_run","k_percent","bb_percent","p_hit_by_pitch","xba","xslg","sl_avg_speed","sl_avg_spin","ch_avg_speed","ch_avg_spin","cu_avg_speed","cu_avg_spin","si_avg_speed","si_avg_spin"
"Colon, Bartolo","112526","2018","628","32",12.9,4,"3",".300",".525","80.5","2388","80.8","1657",,,"86.9","2136"
"Sabathia, CC","282332","2018","665","19",21.1,7.7,"11",".219",".352","80","2250","83.4","1878",,,"90.1","2027"
"Greinke, Zack","425844","2018","839","28",23.7,5.1,"6",".245",".406","83.4","2540","86.5","1738","71.2","2476","90","2278"
"Hamels, Cole","430935","2018","805","29",23.4,8.1,"19",".255",".423","85","2115","83.4","1652","78.8","2197","91.4","2076"
"Hernandez, Felix","433587","2018","684","27",18.3,8.6,"12",".267",".463","82.5","2264","84.9","1701","78.9","2357","89.2","1997"
"Verlander, Justin","434378","2018","833","28",34.8,4.4,"8",".184",".309","86.5","2684","87.4","1899","79.6","2894",,
"Liriano, Francisco","434538","2018","586","19",18.8,12.5,"5",".263",".442","84.5","2245","85.4","1717","77","2308","92","2024"
"Hammel, Jason","434628","2018","582","18",15.8,6.7,"3",".299",".508","85.1","2527","84.7","1657","77","2346","91.7","2036"
"Sánchez, Aníbal","434671","2018","553","15",24.4,7.6,"4",".210",".342","83.3","2346","71","1355","77.9","2156","91.1","2156"
"Kluber, Corey","446372","2018","842","25",26.4,4,"3",".227",".369",,,"85.2","1751","83.8","2607","92","2268"
"Hill, Rich","448179","2018","547","20",27.4,7.5,"8",".226",".402","78.7","2522","83.9","1857","74.6","2886","86.8","2415"
"Shields, James","448306","2018","871","34",17.7,9,"9",".262",".465",,,"83.4","1665","78.2","2478","89","2178"
"Guerra, Junior","448855","2018","610","19",22.3,9,"4",".241",".394","83.8","2296",,,"82.2","2561","93.4","2124"
"Morton, Charlie","450203","2018","695","18",28.9,9.2,"16",".205",".326",,,,,"79.7","2923","95.1","2109"
"Lester, Jon","452657","2018","761","24",19.6,8.4,"6",".268",".449",,,"84.9","1805","74.8","2571","90.2","2073"
"Kennedy, Ian","453178","2018","518","20",20.3,7.7,"1",".260",".483","87.1","2078","85","1951","78.2","2616","91.6","2320"
"LeBlanc, Wade","453281","2018","662","24",19.6,6,"3",".251",".431","77.7","2072","77.7","1522","72.5","2206","86.3","1878"
